id_interno;numero_proyecto;extracto;Fecha;Año;Estado;Proyecto;Expediente Electrónico;TEXTO ORIGINAL;Autores
1;Proyecto N° 2;SE CONVOQUE A LA COMISION DE EMERGENCIA Y DESASTRE AGROPECUARIO PARA ESTUDIO Y DIAGNOSTICO DE LA SITUACION AGROGANADERA.;2012-02-03;2012;ARCHIVADO;Resolución;;;
2;Proyecto N° 3;PEDIDO DE INFORME AL SR. MINISTRO DE GOBIERNO Y JUSTICIA DE LA PROVINCIA DE CATAMARCA, SOBRE LOS HECHOS SUCEDIDOS EL DOMINGO 5 DE FEBRERO DEL CORRIENTE AÑO EN EL SERVICIO PENITENCIARIO PROVINCIAL.;2012-02-06;2012;ARCHIVADO;Resolución;;;
3;Proyecto N° 4;PEDIDO DE INFORME AL PODER EJECUTIVO PROVINCIAL SOBRE LA REPRESION POLICIAL DEL DIA 08 DE FEBRERO EN EL DPTO. BELEN.;2012-02-09;2012;ARCHIVADO;Resolución;;;
4;Proyecto N° 5;DECLARAR DE INTERES LEGISLATIVO EL AÑO DIOCESANO DE LA FAMILIA, BAJO EL LEMA A TU FAMILIA DIOS LA AMA.;2012-02-10;2012;ARCHIVADO;Declaración;;;
5;Proyecto N° 6;REPUDIO A LA REPRESION POLICIAL EN TINOGASTA.;2012-02-10;2012;ARCHIVADO;Resolución;;;
6;Proyecto N° 7;SOLICITA AL SEÑOR PRESIDENTE DE LA CAMARA DE DIPUTADOS, QUE DISPONGA CON CARACTER DE URGENTE LA CELEBRACION DE UNA SESION ESPECIAL.;2012-02-10;2012;ARCHIVADO;Resolución;;;
7;Proyecto N° 8;IMPLEMENTASE EL SISTEMA DE EMISION Y ADQUISICION DE ORDENES MEDIANTE LA RED DE CAJEROS AUTOMATICOS (RED LINK) DEL BANCO DE LA NACION ARGENTINA.;2012-02-22;2012;ARCHIVADO;Ley Provincial;;;
8;Proyecto N° 9;DECLARASE ZONA DE DESASTRE Y EMERGENCIA ECONOMICA, AGROPECUARIA Y SOCIAL  A LOS DEPARTAMENTOS TINOGASTA, BELEN, SANTA MARIA, ANDALGALA Y LAS LOCALIDADES DE LA PROVINCIA AFECTADAS POR LAS ULTIMAS TORMENTAS.;2012-02-23;2012;ARCHIVADO;Ley Provincial;;;
9;Proyecto N° 10;SOLICITA AL PODER EJECUTIVO PROVINCIAL REALICE LA RESPECTIVA DENUNCIA EN SEDE JUDICIAL Y LA CORRESPONDIENTE INVESTIGACION ADMINISTRATIVA POR LA COMISION DE UN SUPUESTO DELITO DE COHECHO, EN VIRTUD DE SUPUESTOS DICHOS DEL ACTUAL SUBSECRETARIO DE ASUNTOS MUNICIPALES, SEÑOR LUIS DANIEL LAVATELLI.;2012-02-24;2012;ARCHIVADO;Resolución;;;
10;Proyecto N° 11;CREASE EN EL AMBITO DE LA CAMARA DE DIPUTADOS DE LA PROVINCIA DE CATAMARCA, LA COMISION PERMANENTE DE MEDIO AMBIENTE, RECURSOS NATURALES Y DESARROLLO SUSTENTABLE.;2012-02-28;2012;ARCHIVADO;Decreto Cámara;;;
11;Proyecto N° 12;DECLARAR DE INTERES PARLAMENTARIO LA POSICION DEL GOBIERNO ARGENTINO EN EL RECLAMO DE SOBERANIA SOBRE LAS ISLAS MALVINAS.;2012-02-28;2012;ARCHIVADO;Declaración;;;
12;Proyecto N° 13;ESTABLECESE CON MOTIVO DE CUMPLIRSE 30 AÑOS DEL CONFLICTO ARMADO EN LAS ISLAS MALVINAS, UN MEMBRETE ALUSIVO A PIE DE PAGINA CON LA LEYENDA: ISLAS MALVINAS, SOBERANIA ARGENTINA.;2012-03-05;2012;ARCHIVADO;Resolución;;;
13;Proyecto N° 14;DIRIGIRSE AL PODER EJECUTIVO PROVINCIAL SOLICITANDO LA ADHESION A LA CONMEMORACION DEL DIA INTERNACIONAL DE LA MUJER.;2012-03-05;2012;ARCHIVADO;Declaración;;;
14;Proyecto N° 15;EXPROPIACION DE INMUEBLES EN LA CIUDAD DE TINOGASTA, PARA EL USO PUBLICO.;2012-03-07;2012;ARCHIVADO;Ley Provincial;;;
15;Proyecto N° 16;DECLARAR DE INTERES LEGISLATIVO Y CULTURAL LA DESTACADA ACTUACION DEL JOVEN JUAN IGNACIO MOLINA, EN LA RAMA ARTISTICA MUSICAL;2012-03-08;2012;ARCHIVADO;Declaración;;;
